Amplicon	NumberOfIsoformsTargettedByAmplicon
c89422f1p0929.1	1
c27372f1p12153.1	1
SUGdenovo-0144716.1	1
c95911f1p22078.1	1
c15202f1p01451.1	1
c106308f1p04384.1	1
Sspon.002A0020150-mRNA-1.1	1
c82342f1p13625.1	1
c113428f1p14461.1	1
Sspon.007B0001670-mRNA-1.1	12
SUGdenovo-0845329.1	12
SP803280_c92879_g1_i1.2	1
Sspon.003A0009070-mRNA-1.1	1
SP803280_c86331_g1_i2.1	4
SUGdenovo-0503934.1	4
SUGdenovo-0503935.1	4
Sh_231P12_t000050.1	1
SP803280_c108235_g4_i2.1	1
SUGdenovo-0681704.2	1
SCCCLR1079G08.g.1	1
Sspon.008B0015090-mRNA-1.2	1
Sspon.006D0008830-mRNA-1.3	1
Sspon.008A0012070-mRNA-1.3	1
SCMCFL5008H04.g.1	1
c24240f1p11092.1	1
Sspon.003B0031130-mRNA-1.1	1
Sspon.007D0015401-mRNA-1.3	1
c95023f2p11312.1	1
c60404f1p21041.1	5
SP803280_c95470_g2_i2.1	5
SUGdenovo-0486847.1	5
SUGdenovo-0486848.1	5
evm.model.SCSP803280_000026226.3.1	2
Sspon.003C0006660-mRNA-1.1	1
Sh_248H09_t000040.1	15
Sspon.004B0021200-mRNA-1.1	15
Sspon.004D0022780-mRNA-1.1	15
SUGdenovo-0654008.1	15
SUGdenovo-0654019.1	15
Sh_242B07_t000070.1	1
Sh_224G15_t000010.1	7
SP803280_c107577_g2_i5.1	7
SUGdenovo-0574552.1	7
c40770f1p0909.1	2
SUGdenovo-0848368.1	8
Sspon.006A0022152-mRNA-1.1	1
c28283f1p01556.2	1
Sspon.006D0020830-mRNA-1.1	1
Sspon.006B0021610-mRNA-1.1	1
SUGdenovo-0701683.1	7
SUGdenovo-0701691.1	7
SUGdenovo-0701692.1	7
evm.model.SCSP803280_000088655.1.1	2
Sh_241M24_t000050.1	1
SUGdenovo-0634778.1	2
c19185f1p0764.1	5
c77990f3p01685.2	1
Sspon.003C0030700-mRNA-1.1	7
c67643f1p1775.1	2
Sspon.005B0018320-mRNA-1.5	1
SCJFRZ2032G01.g.4	1
SCRFLR1012F03.g.2	1
c81772f1p13316.1	1
SP803280_c100836_g2_i1.3	1
SUGdenovo-0503932.3	1
SUGdenovo-0404358.2	1
c17707f3p31924.1	2
c42290f1p01930.1	2
SUGdenovo-0133185.1	1
c23916f1p21811.1	14
c32435f3p21876.1	14
c42187f1p11882.1	14
c47555f2p01841.1	14
Sspon.001C0009620-mRNA-1.1	14
SUGdenovo-0690978.1	14
SUGdenovo-0732982.1	14
Sspon.001B0014720-mRNA-1.1	1
c42730f1p01426.1	1
Sh_236C11_t000050.1	1
SUGdenovo-0407068.3	1
Sspon.004B0023310-mRNA-1.1	1
SUGdenovo-0710981.1	2
SUGdenovo-0803923.1	1
