Isoform	NumberOfAmpliconsTargetingIsoform
c89422f1p0929	1
c27372f1p12153	8
SUGdenovo-0144716	1
c95911f1p22078	3
c15202f1p01451	1
c106308f1p04384	5
Sspon.002A0020150-mRNA-1	1
c82342f1p13625	9
c113428f1p14461	7
c112768f1p14595	9
c85114f1p02729	5
c94802f1p53323	8
SCCCLR1C06G07.g	8
Sh_230M24_t000030	6
SP803280_c104218_g1_i1	8
Sspon.007A0002580-mRNA-1	7
Sspon.007B0001670-mRNA-1	2
Sspon.007B0001690-mRNA-1	6
SUGdenovo-0845329	2
SP803280_c92879_g1_i1	2
Sspon.003A0009070-mRNA-1	1
SP803280_c86331_g1_i2	3
SUGdenovo-0503932	4
SUGdenovo-0503934	3
SUGdenovo-0503935	3
Sh_231P12_t000050	1
SP803280_c108235_g4_i2	1
SUGdenovo-0681704	4
SCCCLR1079G08.g	1
Sspon.008B0015090-mRNA-1	1
Sspon.006D0008830-mRNA-1	2
Sspon.008A0012070-mRNA-1	2
SCMCFL5008H04.g	4
c24240f1p11092	1
Sspon.003B0031130-mRNA-1	1
Sspon.007D0015401-mRNA-1	1
c95023f2p11312	1
c60404f1p21041	4
evm.model.SCSP803280_000096519.3	5
SP803280_c95470_g2_i2	4
SUGdenovo-0486847	4
SUGdenovo-0486848	4
c109846f1p14882	2
evm.model.SCSP803280_000026226.3	1
Sspon.003C0006660-mRNA-1	1
c54637f1p11006	9
Sh_242B07_t000070	10
Sh_248H09_t000040	5
SP803280_c100836_g2_i1	10
SP803280_c100836_g2_i2	9
Sspon.004A0021251-mRNA-1	7
Sspon.004A0021261-mRNA-1	7
Sspon.004B0021200-mRNA-1	5
Sspon.004D0022780-mRNA-1	5
SUGdenovo-0404358	6
SUGdenovo-0654006	6
SUGdenovo-0654008	5
SUGdenovo-0654011	14
SUGdenovo-0654014	14
SUGdenovo-0654019	10
Sh_224G15_t000010	3
SP803280_c107577_g2_i1	5
SP803280_c107577_g2_i2	5
SP803280_c107577_g2_i5	4
SUGdenovo-0574548	5
SUGdenovo-0574552	5
c23868f1p01506	2
c40770f1p0909	1
